No,Nama Tempat,Kategori,Koordinat,Latitude,Longitude,Alamat,Deskripsi
273,Pelabuhan Alas,Pelabuhan,S8 30 19.1 E116 59 98.7,-8.000000,117.000000,"Pelabuhan Alas, Sumbawa Besar","Pelabuhan Alas menjadi pelabuhan untuk menyeberang ke Pulau Bungin. Menyediakan transportasi dengan perahu selama 10 menit dengan biaya sekitar Rp. 5.000,-."
274,Pelabuhan Badas,Pelabuhan,S8 27 79.9 E117 22 13.2,-8.000000,117.000000,"Pelabuhan Badas, Sumbawa Besar","Pelabuhan Badas adalah pelabuhan utama di kota Sumbawa Besar, namun belum bisa disinggahi kapal besar sehingga belum menunjang kegiatan pariwisata di wilayah tersebut."
275,Masjid Bungin (Al-Ikhlas),Masjid,-8.000000 E117.000000,-8.000000,117.000000,"Desa Bungin, Sumbawa",Masjid Al-Ikhlas adalah masjid yang menjadi pusat ibadah bagi penduduk setempat di Pulau Bungin.
276,Kantor Polisi Sumbawa,Kantor Polisi,S8 29 50.8 E117 25 18.7,-8.000000,117.000000,"Jl. Hasanudin, Sumbawa Besar",Kantor Polisi Sumbawa yang menyediakan layanan keamanan bagi masyarakat di wilayah Sumbawa Besar.
277,Bandara Brangbiji,Bandara,S8 29 31.3 E117 24 87.7,-8.000000,117.000000,"Jl. Garuda No.41, Sumbawa Besar",Bandara kecil yang melayani penerbangan antar pulau.
278,Kantor Kepala Desa Poto,Kantor Pemerintahan,-8.000000000000000 117.000000000000000,-8.000000,117.000000,"Desa Poto, Sumbawa Besar",Kantor Kepala Desa Poto yang melayani administrasi desa dan kegiatan pemerintahan lokal.
279,Alun-alun Sumbawa,Fasilitas Umum,-8.000000000000000 117.000000000000000,-8.000000,117.000000,Sumbawa Besar,"Alun-alun yang menjadi pusat aktivitas masyarakat Sumbawa Besar, tempat berkumpul untuk berbagai kegiatan sosial."
280,Mesjid Agung Nurul Huda,Masjid,S8 30 23.6 E117 25 59.5,-8.000000,117.000000,"Jl. Sudirman No. 28, Sumbawa Besar",Mesjid Agung Nurul Huda adalah masjid besar yang menjadi pusat ibadah utama bagi warga Sumbawa Besar.
281,RM Aneka Rasa Jaya,Kuliner,S8 29 89.1 E117 25 34.3,-8.000000,117.000000,"Jl. Hasanuddin, Sumbawa Besar",Rumah makan seafood yang menawarkan berbagai hidangan laut segar dan menu lokal.
282,Warung Sate Samantha (Soto & Sate Kambing),Kuliner,S8 29 71.3 E117 25 22.7,-8.000000,117.000000,"Jl. Hasanudin No.73, Sumbawa Besar",Warung yang terkenal dengan soto dan sate kambing khas Sumbawa.
283,Pelabuhan Benete Newmount,Pelabuhan,S8 54 23.5 E116 45 03.2,-8.000000,116.000000,"Pelabuhan Benete, Sumbawa Barat","Pelabuhan yang menjadi pusat pengiriman konsentrat tambang tembaga dan emas Newmont. Selain digunakan untuk lalu-lalang penambang, juga sebagai pusat kegiatan industri tambang."
284,Masjid Jami Jereweh,Masjid,-8.000000 E117.000000,-8.000000,117.000000,"Desa Jereweh, Sumbawa Barat",Masjid Jami Jereweh yang menjadi tempat ibadah utama bagi penduduk setempat.
285,Kantor Bupati Sumbawa Barat,Kantor Pemerintahan,S8 45 14.3 E116 51 10.3,-8.000000,116.000000,"Kemutar Telu Center (KTC), Sumbawa Besar",Kantor Bupati Sumbawa Barat yang berfungsi sebagai pusat administrasi pemerintahan di wilayah Sumbawa Barat.
286,Desa Tongo Senutuk,Desa Wisata,S9 01 34.7 E116 48 19.7,-9.000000,116.000000,"Kecamatan Sekongkang, Sumbawa Barat","Desa wisata yang terletak di dekat Pantai Senutuk, terkenal dengan pemandangan indah dan perkampungan nelayan tradisional yang menggunakan rumah bambu dengan atap rumbia."
287,Dusun Jelenge,Desa Wisata,S8 51 31.8 E116 46 24.2,-8.000000,116.000000,"Kecamatan Jereweh, Sumbawa Barat","Desa Jelenge terletak di dekat Pantai Jelenge, yang pesisirnya mirip dengan Pantai Kuta di Bali. Pantai ini masih alami, dengan pasir putih dan suasana yang tenang. Cocok untuk berbagai aktivitas wisata dan relaksasi."
288,Tugu Sekongkang,Tugu,-8.000000 116.000000,-8.000000,116.000000,"Sekongkang, Sumbawa Barat","Tugu Sekongkang yang menjadi landmark dan simbol dari Kecamatan Sekongkang, Sumbawa Barat."
289,Tugu Jereweh,Tugu,-8.000000 116.000000,-8.000000,116.000000,"Jereweh, Sumbawa Barat",Tugu Jereweh adalah tanda khas dari Kecamatan Jereweh yang menjadi ikon utama daerah tersebut.
290,Pantai Balat,Pantai,S8 45 58.0 E116 47 31.9,-8.000000,116.000000,"Kecamatan Taliwang, Kabupaten Sumbawa Barat","Pantai Balat terletak di Kecamatan Taliwang, terkenal dengan pasir putihnya yang luas dan ombak yang tenang, menjadikannya tempat yang ideal untuk bersantai."
291,Pantai Poto Batu,Pantai,S8 47 40.6 E116 48 43.2,-8.000000,116.000000,"Jereweh, Kecamatan Taliwang, Kabupaten Sumbawa Barat","Pantai Poto Batu adalah tempat yang menyenangkan untuk berenang, berlayar, atau sekadar menikmati pemandangan alam sekitar."
292,Pantai Maluk,Pantai,S8 55 09.6 E116 44 58.1,-8.000000,116.000000,"Desa Maluk, Kecamatan Jereweh, Kabupaten Sumbawa Barat","Pantai Maluk adalah destinasi wisata terkenal, populer di kalangan peselancar, dengan pemandangan Teluk Maluk yang indah."
293,Pantai Jelenga,Pantai,S8 51 38.1 E116 45 46.1,-8.000000,116.000000,"Desa Goa, Kecamatan Jereweh, Kabupaten Sumbawa Barat","Pantai Jelenga dengan pasir putih dan panorama yang memukau, sangat cocok untuk berlibur dengan suasana yang tenang dan rapi."
294,Pantai Yoyo,Pantai,S8 58 36.0 E116 44 11.6,-8.000000,116.000000,"Kecamatan Sekongkang, Kabupaten Sumbawa Barat","Pantai Yoyo terkenal dengan ombaknya yang unik berbentuk seperti permainan yoyo, memiliki pasir putih dan pemandangan yang memesona."
295,Pantai Tropical,Pantai,S8 59 47.6 E116 44 18.1,-8.000000,116.000000,"Desa Sekongkong Atas, Kecamatan Sekongkong, Kabupaten Sumbawa Barat","Pantai Tropical menawarkan berbagai fasilitas wisata seperti Jet Sky, selancar, serta restoran dan hotel untuk kenyamanan pengunjung."
296,Goa Mumber,Goa,S8 42 10.5 E116 57 27.4,-8.000000,116.000000,"Gua Mumber, Sumbawa Barat","Goa Mumber memiliki dua gua besar berdampingan dengan formasi yang menakjubkan, seperti auditorium alami yang tinggi dan luas."
297,Danau Taliwang,Danau,S8 42 11.8 E116 51 05.9,-8.000000,116.000000,"Kota Taliwang, Sumbawa Barat","Danau Taliwang adalah danau seluas 856 ha yang menjadi tempat populer untuk memancing dan menikmati pemandangan alam, dengan tanaman teratai yang indah."
298,Kawasan Pantai Panjang,Pantai,S3 49 56.6 E102 17 02.4,-3.832389,102.284000,"Kelurahan Kuala Lempuing/Teluk Sepang, Ratu Samban/Kampung Melayu, Kota Bengkulu","Kawasan Pantai Panjang merupakan kawasan hutan konservasi yang sedang direhabilitasi. Luas kawasan pantai ini sekitar 50 Ha, dan terdapat Pantai Jenggalu, padang rawa-rawa, serta hutan mangrove Ujung Jenggalu."
299,Pantai Tapak Paderi,Pantai,S3 47 05.7 E102 15 01.6,-3.784917,102.250444,Jl. Bencoolen,"Pantai Tapak Paderi dapat ditempuh dalam 10 menit dari pusat Kota Bengkulu. Pantai ini terletak antara Pantai Panjang dan Pantai Nala, dengan pesona alam luar biasa, terutama saat matahari terbenam."
300,Pantai Nala,Pantai,S3 49 09.9 E102 16 18.7,-3.819417,102.271861,Jl. Pariwisata Pantai Panjang,Pantai Nala terletak antara Pantai Panjang dan Pantai Tapak Paderi. Pantai ini memiliki pasir hitam yang cenderung keemasan dan ombak tenang. Ramai dikunjungi pada sore hari.
301,Rumah Pangeran Anang Mahidin b. Pangeran H. Agnes,Benda Cagar Budaya,S2 45 41.3 E103 24 18.9,-2.761472,103.405250,Jl. Raya Sekayu - Lubuklinggau,Rumah Pangeran Anang Mahidin berdiri sekitar tahun 1932 dan merupakan tempat tinggal Pangeran Anang Mahidin yang mendapat gelar dari kolonial Belanda karena perannya sebagai mediator.
302,Situs Benteng Kuto Ulak Lebar dan Kuburan Bujang Kurap,Situs Purbakala,S3 17 29.9 E102 50 29.5,-3.291639,102.841528,"Desa Ulak Libo, Kecamatan Lubuk Linggau Barat II, Kota Lubuk Linggau","Benteng Kuto Ulak Lebar kini hanya tersisa pecahan keramik Cina. Makam Bujang Kurap berada di situs ini, dan Bujang Kurap dikenal sebagai pemuda yang dihormati masyarakat."
303,Makam Batu Betunas,Situs Purbakala,S3 17 25.4 E102 50 35.8,-3.290389,102.843278,"Desa Ulak Libo, Kecamatan Lubuk Linggau Barat II, Kota Lubuk Linggau","Makam Batu Betunas adalah makam pengikut Bujang Kurap, terletak tidak jauh dari makam utama, dengan kondisi yang lebih terawat karena masih ada perawatan keluarga."
304,Rumah Kediaman Bung Karno pada Pengasingan di Bengkulu 1938 - 1942,Benda Cagar Budaya,S3 47 58.7 E102 15 40.9,-3.799639,102.261361,"Jl. Soekarno, Kota Bengkulu","Rumah yang menjadi tempat tinggal Bung Karno selama pengasingan di Bengkulu, dengan ukuran asli 9x18 meter, yang pernah dimiliki oleh Tan Eng Cian, suplaier sembako pada masa kolonial."
305,Benteng Marlborough,Benda Cagar Budaya,S3 47 14.8 E102 15 03.9,-3.787444,102.251083,Jl. Ahmad Yani - Jl. Benteng,Benteng Marlborough adalah peninggalan Inggris yang didirikan antara tahun 1713-1719 oleh East India Company. Benteng ini berfungsi sebagai pertahanan bagi Inggris di Bengkulu.
306,Monumen Thomas Parr,Benda Cagar Budaya,S3 47 19.3 E102 15 02.7,-3.788694,102.250750,Jl. Kolonel Berlian - Jl. Ahmad Yani,"Monumen Thomas Parr adalah tugu yang terletak dekat dengan Benteng Marlborough, berjarak sekitar 170 m. Monumen ini memiliki luas 70 meter persegi dan tinggi 13,5 meter."
307,Sumber Air Panas Tanjung Sakti,Pemandian,S4 10 15.6 E103 04 06.2,-4.171000,103.068389,Kecamatan Tanjung Sakti,"Sumber Air Panas Tanjung Sakti adalah sumber air panas yang ada di kecamatan Tanjung Sakti. Bila Anda singgah di Kecamatan Tanjung Sakti, jangan lewatkan untuk mengunjungi lokasi ini."
308,Makam Sentot Alibasyah,Benda Cagar Budaya,S3 47 20.4 E102 15 48.4,-3.789000,102.263444,Jl. Sentot Alibasyah,"Sentot Alibasyah adalah seorang panglima perang pendukung Pangeran Diponegoro pada Perang Diponegoro (1825-1830). Setelah kekalahan Pangeran Diponegoro, Sentot dan para pengikutnya dimanfaatkan oleh Belanda untuk memerangi kaum Paderi di Sumatera Barat."
309,Rumah Ibu Fatmawati Soekarno,Benda Cagar Budaya,S3 47 53.6 E102 15 55.8,-3.798222,102.265500,Jl. Fatmawati no. 10,"Rumah ini terletak di Kelurahan Penurunan, tidak jauh dari Simpang Lima Ratu Samban Bengkulu. Merupakan salah satu aset sejarah yang dimiliki oleh Kota Bengkulu dan harus tetap dijaga."
310,Watervang,Bendungan,S3 16 20.1 E102 53 51.2,-3.272250,102.897556,Jl. Yos Sudarso - Waterfang,Waterfang adalah bangunan bendungan air Sungai Kelingi yang dibangun oleh Pemerintah Belanda pada tahun 1941 untuk mengatur debit air Sungai Kelingi.
311,Air Terjun Temam 2,Air Terjun,S3 17 37.5 E102 55 50.3,-3.293750,102.930639,RT 06 Lingkungan II,"Air Terjun Temam 2 terletak sekitar 11 km di selatan pusat kota Lubuklinggau, dengan ketinggian 12 m. Dikelilingi oleh batu alam dan perkebunan karet."
312,Wisata Suban Air Panas,Pemandian,S3 27 41.8 E102 34 09.0,-3.461611,102.569167,"Kecamatan Selupu Rejang, Kabupaten Rejang Lebong, Bengkulu",Suban Air Panas merupakan objek wisata yang berasal dari pegunungan. Di lokasi ini juga terdapat air terjun indah dengan ketinggian sekitar 90 m.
313,Danau Mas Harun Bastari,Danau,S3 27 14.3 E102 39 21.1,-3.453972,102.655861,Jl. S. Sukowati no. 57,"Danau Mas Harun Bastari terletak di Kecamatan Selupu Rejang, sekitar 17 km dari Kota Curup. Danau ini berada di pinggir jalan raya dan menawarkan pemandangan yang menakjubkan."
314,Bukit Sulap,Bukit,S3 16 30.1 E102 51 04.5,-3.275028,102.851250,Jl. Bengawan Solo,Bukit Sulap terletak 2 km dari pusat kota Lubuklinggau. Bukit setinggi 700 m ini dikelilingi hutan alami dan menjadi habitat beberapa jenis kera.
315,Kawasan Bunga Rafflesia Arnoldi,Hutan Wisata,S3 39 48.4 E102 33 38.2,-3.663444,102.560611,Jl. Lintas Bengkulu - Lintas Tengah,"Kawasan bunga Rafflesia Arnoldi terletak di Hutan Lindung Rindu Hati, Kabupaten Kepahiang, Bengkulu. Lokasi ini masih alami dan sering ditemukan bunga Rafflesia saat akan mekar."
316,Museum Subkoss Garuda,Museum,S3 17 44.5 E102 51 38.9,-3.295694,102.860806,Depan alun-alun kota Lubuklinggau,Museum Subkoss Garuda didirikan untuk mengenang perjuangan rakyat Sumatera Selatan dalam mempertahankan kemerdekaan RI. Museum ini menempati bekas rumah Bupati Kabupaten Musi Rawas.
317,Pasar Pagaralam,Pasar Tradisional,S4 01 18.4 E103 15 04.3,-4.021778,103.251194,Kota Pagaralam,"Pasar Pagaralam, atau Pagaralam Square, merupakan pusat perdagangan grosir di Kota Pagaralam."
318,Tempat Oleh-oleh Kirana & Raja,Kuliner,S4 01 10.8 E103 15 08.2,-4.019667,103.252278,Kota Pagaralam,"Toko oleh-oleh yang menyediakan kopi khas Pagaralam, kopi luwak, teh, souvenir, kerupuk, dan lainnya."
319,Museum Negeri Bengkulu,Museum,S3 48 57.8 E102 17 15.7,-3.816056,102.287694,Jl. Pembangunan Padang Harapan,"Museum Negeri Bengkulu dibangun pada tahun 1978 dan mulai difungsikan pada 3 Mei 1980. Sebelumnya, museum ini terletak di Benteng Marlborough."
320, Masjid Agung Al Baari', Masjid, S3 17 44.8 E102 51 55.8, -3.295778000000000, 102.865499999999997," ""Jl. Yos Sudarso"""," ""Masjid Agung Al Baari' merupakan masjid agung lama kota Lubuklinggau."""
321, Masjid Agung An Nur, Masjid, S2 53 07.0 E103 50 09.8, -3.885278000000000, 103.836055999999999," ""Jl. Lintas Betung - Muara Beliti"""," ""Informasi tidak ada"""
322, Masjid Jamik Curup, Masjid, S3 27 56.8 E102 31 27.7, -3.465778000000000, 102.865499999999997," ""Jl. Lintas Bengkulu - Lintas Tengah"""," ""Informasi tidak ada"""
323, Disbudpar Kota Lubuklinggau, Kantor Pemerintahan, S3 18 07.8 E102 51 17.6, -3.302167000000000, 102.854889000000000," ""Jl. Garuda no. 66"""," ""Informasi tidak ada"""
324, Kantor Bupati Kepahiang, Kantor Pemerintahan, S3 37 33.4 E102 33 21.0, -3.625944000000000, 102.555833000000007," ""Jl. Lintas Bengkulu - Lintas Tengah"""," ""Informasi tidak ada"""
325, Air Terjun Lematang, Air Terjun, S4 04 22.1 E103 19 22.4, -4.072806000000000, 103.322889000000004," ""Di tepi jalan raya menuju ke Kota Pagar Alam"""," ""Air Terjun Lematang mempunyai tinggi sekitar 40 meter dan merupakan salah satu objek wisata yang menjadi andalan Kota Pagar Alam Lahat. Air Terjun Lematang berada di tepi jalan raya menuju ke Kota Pagar Alam."""
326, Gunung Dempo, Gunung, S4 01 45.5 E103 10 37.9, -4.029306000000000, 103.177194000000000," ""Gunung Dempo (3159 mdpl)"""," ""Gunung Dempo (3159 mdpl) terletak di perbatasan propinsi Sumatera Selatan dan Provinsi Bengkulu. Gunung Dempo merupakan Gunung tertinggi di Sumatera Selatan."""
327, Goa Mensanap & Air Terjun, Goa, S3 56 45.7 E103 29 36.3, -3.946028000000000, 103.493416999999994," ""Informasi tidak ada"""," ""Goa tidak terurus. Tidak ada papan nama. Untuk ke goa dan air terjun masih belum bisa diakses. Pintu masuk melalui perkebunan sawit."""
328, Bukit Runcing, Bukit, S4 04 16.8 E103 26 41.8, -4.071333000000000, 103.444944000000007," ""Informasi tidak ada"""," ""Sebuah bukit dengan keruncingan yang tajam yang unik jika dilihat dari kejauhan. Lokasinya sekitar 1.200 m dari jalan utama. Di sekitar bukit ditanami kopi."""
329, Kantor Disbudpar Kota Pagaralam, Kantor Pemerintahan, S4 02 15.7 E103 11 59.3, -4.037694000000000, 103.199805999999995," ""Komplek Pemerintah Kota Pagaralam"""," ""Berada di kawasan perkantoran Kota Pagaralam."""
330, Masjid MTQ Pagaralam, Masjid, S4 02 25.9 E103 11 42.4, -4.040528000000000, 103.195110999999997," ""Komplek Pemerintah Kota Pagaralam"""," ""Tempat pelaksanaan MTQ ke-22 Sumatra Selatan."""
331, Tugu Pagaralam, Tugu, S4 02 18.7 E103 11 38.6, -4.038528000000000, 103.194000000000003," ""Informasi tidak ada"""," ""Penginapan/villa yang dikelola oleh pemerintah kota Pagaralam."""
332, Villa Pemerintah, Hotel, Informasi tidak ada, Informasi tidak ada, Informasi tidak ada," ""Informasi tidak ada"""," ""Informasi tidak ada"""
333, Pusat Pelatihan Gajah Bukit Serelo, Objek Khusus, S3 49 22.8 E103 38 50.1, -3.823000000000000, 103.647250000000000," ""Kabupaten Lahat"""," ""Pusat Pelatihan Gajah Bukit Serelo ini didirikan sebagai upaya untuk pelestarian satwa gajah lewat konservasi eksitu (konservasi di luar habitat) agar terjamin kelestariannya."""
334,Hotel Dharma Karya,Hotel,S4 00 10.8 E103 14 30.7,-4.003000000000000,103.241861000000000,Jl. Kapten Sanap no. 220 Telp. 0730-621297 Fax. 0730-621297 HP. 081367211557,Informasi tidak ada
335,Hotel Mirasa,Hotel,S4 00 40.5 E103 14 53.5,-4.011250000000000,103.248193999999998,Jl. Kapten Sanap,Hotel dharma karya terletak di kota pagaralam yang jarak tempuh dari pusat kota ke arah bengkulu kisaran 5 menit perjalanan
336,Hotel Telaga Biru,Hotel,S4 01 10.9 E103 15 07.3,-4.019694000000000,103.252027999999996,Jl. May. Ruslan no 224 Telp. 0730-621051,Informasi tidak ada
337,Hotel Bukit Serelo,Hotel,S3 47 33.5 E103 32 09.1,-3.792639000000000,103.535860999999997,JL. Letjen Harun Sohar,"Hotel Bukit Serelo merupakan hotel terbesar yang ada di Kabupaten Lahat. Lokasi hotel ini sendiri berada di pusat kota kabupaten Lahat, di Jalan Mayor Ruslan I Pasar Baru Lahat.  Hotel Bukit Serelo ini juga dilengkapi fasilitas kolam renang yang dapat di"
338,Situs Bukit Siguntang,Situs Purbakala,S2 59.731 E104 43.568,-2.995517000000000,104.726133000000004,"Kelurahan Bukit Lama, Ilir Barat I",Bukit Siguntang terletak di bagian barat kota Palembang dan berjarak sekitar tiga kilometer di sebelah barat laut Karanganyar. Tempat yang dikenal dengan temuan arca Budha yang besar ini merupakan gundukan tanah yang paling menonjol di dataran Palembang
339,Situs Kerajaan Sriwijaya,Situs Purbakala,S3 00.988 E104 44.081,-3.016467000000000,104.734683000000004,"Kelurahan Karanganyar, Kecamatan Gandus","Taman Purbakala Kerajaan Sriwijaya atau TPKS di Kelurahan Karanganyar, Kecamatan Gandus, ramai pengunjung pada hari libur. Kebanyakan pengunjung adalah remaja. Mereka asyik bercengkerama di bawah pepohonan. Situs itu terletak sekitar lima kilometer sebel"
340,Makam Panembahan,Situs Purbakala,S2 58.668 E104 47.460,-2.977800000000000,104.790999999999997,"Kelurahan 1 Ilir, Kecamatan Ilir Timur II",Makam Panembahan trletak bersebelahan dengan makam Ki Gede Ing Suro
341,Makam Gede IngSuro,Situs Purbakala,S2 58.676 E104 47.518,-2.977933000000000,104.791967000000000,"Kelurahan 1 Ilir, Kecamatan Ilir Timur II","Kompleks pemakaman kuno ini sekarang menjadi bagian dari jalur hijau (green barrier) PT Pusri. Di kompleks pemakaman yang masuk dalam wilayah administratif Kelurahan 1 Ilir, Kecamatan IT II ini, terdapat delapan bangunan dengan jumlah makam keseluruhan 3"
342,Makam Kawah Tengkurep,Situs Purbakala,S2 58.747 E104 46.967,-2.979117000000000,104.782782999999995,Jl. Sultan Agung,"Palembang bukan hanya dikenal dengan sejarah panjang Kerajaan Sriwijaya yang berjaya di Nusantara pada abad VI hingga abad XIII saja, namun kota yang dialiri Sungai Musi ini memiliki cerita lain tentang Kesultanan Palembang Darussalam. Masyarakat Palemba"
343,Balai Arkeologi Palembang,Kantor Pemerintahan,S2 58 54.2 E104 43 22.1,-2.981722000000000,104.722806000000006,"Jl. Kancil Putih Lorong Rusa, Demang Lebar Daun, Ilir Barat I",Informasi tidak ada
344,Benteng Kuto Besak,Benda Cagar Budaya,S2 59.531 E104 45.580,-2.992183000000000,104.759666999999993,Jl. Sultan Mahmud Badaruddin II,"Benteng Kuto Besak dibangun selama 17 tahun, dimulai pada tahun 1780 M dan diresmikan pemakaiannya pada hari Senin tanggal 21 Februari 1797 M. Benteng Kuto Besak pada awalnya adalah bangunan keraton yang pada Abad XVIII menjadi pusat Kesultanan Palembang"
345,Danau Ranau,Danau,S4 48.714 E103 55.594,-4.811900000000000,103.926567000000006,Kecamatan Banding Agung dengan jarak 125 km dari Baturaja ibukota Kabupaten Oku,"Danau Ranau merupakan danau terbesar dan terindah di Sumatera Selatan yang terletak di kecamatan Banding Agung Kabupaten UKO Selatan (dahulu masuk dalam wilayah Kabupaten Ogan Komering Ulu). Berjarak sekitar 342 km dari kota palembang, 130 km dari kota B"
346,Danau OPI,Danau,S3 02.765 E104 47.123,-3.046083000000000,104.785382999999996,Jakabaring,"Tak lengkap rasanya ke Palembang tanpa singgah dan menikmati wisata air di Danau OPI, Jakabaring. Pada awalnya, Danau OPI ini dibuat oleh pemerintah Kota Palembang untuk kegiatan PON dalam olah raga dayung. Panjangnya sekitar 517 meter dan lebarnya 200 m"
347,Wisata Sungai Musi,Sungai,S2 59 44.2 E104 45 42.4,-2.990700000000000,104.761767000000006,Informasi tidak ada,Wisata sungai musi bisa ditempuh dengan menggunakan perahu. Kita bisa naik perahu dari Benteng Kuto Besak yang harganya sewanya bervariatif tergantung kemampuan kita menawar :p (Rp 50.000 – Rp 80.000). Perjalanan dimulai dengan tujuan Pulau Kemaro yang
348,Pulau Kemaro,Pulau,S2 58 49.1 E104 48 43.4,-2.980317000000000,104.145399999999995,Di Sungai Musi 6 km dari Jembatan Ampera,"Pulau Kemaro, sebuah delta kecil di Sungai Musi, terletak sekitar 6 km dari Jembatan Ampera. Di sana terdapat sebuah vihara cina (klenteng Hok Tjing Rio). Pulau Kemaro terletak di daerah industri,yaitu di antara Pabrik Pupuk Sriwijaya dan Pertamina Plaju"
349,Goa Putri,Goa,S4 04 05.8 E103 55 29.8,-4.068283000000000,103.924932999999996,Desa Padangbindu Kecamatan Semidangaji,"Goa Putri yang merupakan daerah tujuan wisata yang memiliki potensi historis terutama kandungan budayanya yang menyimpan bukti kehidupan sejarah nenek moyang kita dalam perikehidupan mereka yang tercermin dari tinggalan artefaktual maupun peralatannya, a"
350,Hutan Wisata Punti Kayu,Hutan Wisata,S2 56 35.3 E104 43 42.0,-2.943150000000000,104.728333000000006,Jl. Kolonel Barlian KM 7,Hutan Punti Kayu merupakan satu-satunya lokasi wisata hutan di Kota Palembang. Hutan yang memiliki luas 12 hektar ini merupakan paru-paru kota yang di dalamnya tumbuh tanaman yang didominasi oleh tanaman jenis pinus. Hutan wisata ini merupakan tempat unt
351,Taman Kambang Iwak Besak,Taman Kota,S2 59 24.8 E104 44 48.7,-2.990233000000000,104.746866999999995,Jl.Talang Semut,"Kambang Iwak Besak merupakan sebuah tempat rekreasi yang terletak di Taman Kota Palembang Kambang Iwak, Bukit Besar. Pada akhir pekan, taman kota ini digunakan oleh masyarakat Palembang untuk berolahraga seperti joging dan bersepeda. Pada malam harinya d"
352,Museum Negeri Sumatera Selatan Balaputera Dewa,Museum,S2 57 04.6 E104 43 44.8,-2.951350000000000,104.730232999999998,"JL. Sriwijaya I Km. 5,5 No. 288","Museum Bala Putra Dewa dibangun pada tahun 1977 dengan arsitektur tradisional Palembang di atas areal seluas 23.565 meter persegi dan diresmikan pada tanggal 5 Nopember 1984. Pada mulanya museum ini bernama Museum Negeri Propinsi Sumatera Selatan, selanj"
353,Museum Tekstil,Museum,S2 59 29.4 E104 44 58.9,-2.989750000000000,104.749683000000005,Jl. Merdeka,"Museum Tekstil atau gedung Eks BP7 itu telah dibangun pada masa kolonial Belanda untuk kantor gubernur Pemerintahan Hindia Belanda di wilayah Sumatera Bagian Selatan. Dalam perjalanan waktu, gedung ini dimanfaatkan pula untuk menjadi berbagai kantor, pad"
354,Museum Sultan Mahmud Badaruddin II,Museum,S2 59 34.3 E104 45 40.9,-2.990917000000000,104.761382999999995,"Jl. Sultan Mahmud Badaruddin II Nomor 1, Kota Palembang.",Museum Sultan Mahmud Badaruddin II merupakan salah satu bukti perjalanan panjang sejarah kemerdekaan bangsa Indonesia yang berada di Kota Palembang. Museum yang diperkirakan dibangun pada tahun 1737 ini bisa menjadi salah satu pertimbangan wisata pendidi
355,Amazon Water Park,Kolam Renang,S2 56 22.8 E104 40 58.3,-2.938167000000000,104.682867000000002,Perumahan Citra Grand City,"Amazon Waterpark dibangun di atas lahan seluas 5 hektar dengan wahana 7 wahana tersebut yaitu plaza utama, kolam anak (kiddy pool), gasibu, kolam luncur, kolam arus, olympil pool, quiet pool, dan kolam ombak. Tahap pertama baru 3,5 hektar dulu."
356,Jembatan Ampera,Jembatan,S2 59 18.4 E104 45 47.8,-2.991383,104.763250,Kota Palembang,"Jembatan Ampera mulai dibangun pada 1962 dan selesai 1964. Jembatan ini didanai dari biaya pampasan perang Jepang yang berhasil diperjuangkan masyarakat Palembang semasa pemerintahan Soekarno. Awalnya, jembatan ini diberi nama Jembatan Bung Karno. Namun."
357,Kantor Disbudpar Kabupaten Ogam Komering Ulu,Kantor Pemerintahan,S4 07 00.8 E104 10 30.4,-4.116883,104.175101,Jl. Mayor Iskandar,Informasi tidak ada.
358,DPRD Sumatera Selatan,Kantor Pemerintahan,S2 58 50.0 E104 44 44.6,-2.980550,104.745717,"Jl. Kapten Ahmad Rifai, Palembang",Informasi tidak ada.
359,Garuda Indonesia,Kantor,S2 58 47.1 E104 44 55.5,-2.978617,104.748750,"Jl. Kapten Ahmad Rifai, Palembang",Informasi tidak ada.
360,Opi Water Fun,Kolam Renang,S3 02 03.5 E104 47 30.9,-3.034317,104.791933,Jl. GA. Bastari Kel. 15 Ulu Seberang Ulu I Palembang,"OPI Water Fun merupakan tempat hiburan yang menghadirkan wahana permainan air dengan permainan yang menarik. Adapun Arena Permainan yang tersedia seperti kolam Permainan Anak-anak Rainbow Castle dan Kiddie Pool; Slide Tower Rapid Falls, Smash Down, Bugie."
361,Stadion Gelora Sriwijaya,Gelanggang Olahraga,S3 01 16.9 E104 47 03.7,-3.021350,104.784350,"Jl. Gubernur Hasan Bastari, Komplek Olahraga Jakabaring","Stadion Gelora Sriwijaya yang terletak di daerah Jakabaring Palembang ini merupakan salah satu stadion besar di Indonesia. Dibangun dalam rangka persiapan Sumatera Selatan sebagai tuan rumah PON XVI 2004, menunjukan keseriusan daerah ini dalam menyambut."
362,"Wisma Atlit Jaka Baring,Palembang",Wisma,S3 01 07.6 E104 47 26.1,-3.018767,104.790600,Komplek Olahraga Jakabaring,"Wisma atlet di Jakabaring dengan 1.000 kamar dibangun untuk menampung atlet SEA Games XXVI. Kini, program pembangunanya sudah mencapai 40 persen dengan total tiga blok yang dibangun."
363,Kampung Kapiten,Desa Wisata,S2 59 45.6 E104 45 50.0,-2.996150,104.763883,Kelurahan 7 Ulu Kecamatan Seberang Ulu 1,"Kampung Kapitan memang salah satu bangunan peninggalan China. Namun, bukan ciri khas China yang melekat di sana, melainkan perpaduan antara budaya Palembang, China, dan Belanda yang terasa kental mewarnai kawasan yang terletak di pinggir Sungai Musi ini."
